age,mileage,vehicle_type,damage_level,scrap_price
6,75685,Sedan,Medium,13137.09
9,291410,Motorcycle,Medium,5624.11
12,275943,Sedan,High,3643.13
22,58480,Sedan,Medium,3735.02
7,169302,Motorcycle,Low,9354.85
14,109918,Sedan,Low,9086.74
12,189758,Motorcycle,Low,6146.91
25,222274,Sedan,Medium,3937.71
20,220231,SUV,Medium,5685.97
17,42240,Sedan,High,1861.05
7,280542,Van,High,7076.69
19,33076,Motorcycle,High,943.02
6,29830,Sedan,Low,21300.3
1,266929,Sedan,Medium,19434.78
12,103841,SUV,Low,16613.55
23,106958,Motorcycle,Low,3090.7
8,45308,Motorcycle,High,2797.47
11,145383,Van,Low,16611.99
2,167776,Van,Low,31566.26
22,90638,Van,Medium,4796.88
12,275474,Truck,High,6301.74
23,225776,SUV,High,2544.62
19,292393,Sedan,Low,5989.1
9,119204,Van,High,5734.55
11,184319,Sedan,Medium,9045.9
3,101603,Truck,High,14294.07
3,138201,Motorcycle,Medium,8617.37
4,100523,SUV,Medium,22519.44
4,289164,Motorcycle,Low,12085.74
9,192699,Truck,Low,30664.7
24,295905,Truck,Medium,6833.1
11,209268,SUV,Low,19094.87
1,251569,Van,Medium,22277.39
24,182038,Van,Low,7308.44
14,165355,Truck,High,4878.65
5,150524,Sedan,High,7077.56
20,97191,Sedan,Medium,3893.55
25,103661,Truck,High,3384.41
3,224433,Motorcycle,High,3658.37
7,118137,Van,Medium,14741.7
14,242408,Sedan,Medium,5962.56
4,256040,SUV,High,9872.08
1,99507,Truck,Low,52071.84
21,94514,Truck,Low,11003.41
17,125341,Sedan,Medium,3967.75
8,101902,SUV,Medium,16073.16
1,54358,Van,Low,34708.94
10,157142,Truck,Low,26450.63
18,146951,SUV,High,2642.28
1,87492,Truck,Low,52882.66
25,197862,Sedan,High,1818.17
15,220667,Truck,High,4209.75
3,66874,Van,Medium,20203.01
11,223380,Truck,Low,24573.83
19,154425,Sedan,Medium,3898.05
7,287670,Van,High,6714.6
7,250082,Sedan,Medium,12435.5
21,75377,Truck,Medium,7364.06
22,34256,Van,Low,7117.59
3,42014,Sedan,High,7420.22
13,172523,Van,Medium,7928.93
19,96975,Sedan,High,1882.23
8,256807,Motorcycle,High,2668.03
19,226997,Van,Low,7398.26
19,186914,SUV,Low,8431.3
3,136097,Sedan,Low,25819.04
18,105597,Van,High,2055.51
20,125845,Truck,Low,10562.88
21,83012,Truck,Low,10668.83
22,98152,Van,High,2092.57
14,105304,SUV,Medium,8332.95
18,125624,SUV,Medium,5300.94
12,58753,Van,Medium,9300.26
20,138379,Sedan,High,1788.24
12,155979,SUV,Medium,10646.01
18,97586,Motorcycle,High,940.02
18,177894,Truck,Low,10745.75
7,183271,Sedan,High,6061.75
6,298308,Van,High,7929.45
20,147595,Motorcycle,High,932.91
8,228829,Van,Medium,13735.86
7,174196,Van,Low,24194.45
16,217261,Truck,Low,10539.3
4,293068,Van,Low,27373.05
25,183374,Truck,Low,10854.52
15,116288,Truck,Medium,8985.22
20,215745,Motorcycle,High,941.66
14,240915,Van,High,3276.06
9,244591,Sedan,Medium,10940.35
15,16664,Motorcycle,High,1194.03
9,235851,Sedan,Low,15718.42
25,117665,Van,Medium,4818.58
23,239897,Sedan,Medium,3857.95
12,224588,Motorcycle,High,1768.64
21,182579,Sedan,High,1841.03
14,15487,Sedan,Medium,6724.24
10,141713,Van,High,5498.87
7,153943,SUV,Medium,17941.43
21,233032,Van,High,2122.78
9,174976,Sedan,High,4868.39
14,219186,Van,Low,10783.23
10,28887,SUV,High,6457.12
9,98295,Van,Medium,12319.29
23,286573,Van,Low,7487.65
15,70206,Truck,Low,13965.05
11,34201,SUV,High,5570.05
23,262164,Motorcycle,High,870.52
13,162734,Van,Low,12762.77
25,135740,Van,High,2114.1
8,218492,Van,Low,21969.73
7,174385,Van,Medium,14785.24
24,49344,Sedan,Low,6210.09
5,235306,Van,High,8000.67
11,49071,Van,High,4718.28
25,159112,Van,Medium,4515.0
23,261757,Motorcycle,Medium,1954.72
25,253957,Sedan,Low,5932.37
14,81903,Sedan,Low,9222.62
7,138027,Truck,High,10299.67
21,140352,Motorcycle,High,925.28
13,133243,SUV,Low,14754.71
22,83925,SUV,Low,8291.46
22,226081,Sedan,Medium,3983.49
24,30069,Motorcycle,Low,3101.46
15,163048,Truck,Medium,8740.76
14,95732,Motorcycle,Low,4449.66
13,238044,Van,Medium,8351.03
17,295596,Van,Medium,4826.82
9,264939,Truck,High,8707.4
10,130528,Truck,High,8272.42
5,190672,SUV,Medium,20986.68
9,19416,SUV,Medium,15137.83
14,297328,Motorcycle,Medium,2786.07
5,16810,Motorcycle,Medium,8063.56
3,166546,Van,Medium,19593.11
10,51277,Sedan,Medium,9998.02
25,113893,SUV,Low,8502.47
2,21944,Sedan,High,8384.4
24,22562,Motorcycle,Medium,1930.19
24,270415,SUV,Low,8605.69
24,143093,Truck,Low,10827.36
11,226598,Truck,Low,23915.95
6,110006,SUV,Medium,18975.92
2,12066,Sedan,Medium,22116.86
19,46251,Sedan,Low,6141.37
10,194620,Motorcycle,Low,7184.0
23,268121,Van,High,2210.89
11,47126,Sedan,High,3888.73
11,268393,SUV,High,5931.76
9,215655,Motorcycle,Low,8094.87
10,251616,Motorcycle,Medium,5081.37
17,219099,Van,Medium,4759.06
9,246989,Van,Medium,12741.17
21,206011,Van,Low,7349.88
1,200488,SUV,Medium,25686.33
20,201569,Sedan,High,1825.54
3,149822,SUV,High,10423.69
8,6892,SUV,High,11085.23
16,226675,Truck,Low,10600.79
16,131861,Van,High,2143.22
5,40172,Truck,Low,39910.94
7,51262,Van,Medium,15021.54
10,259045,Truck,Medium,18195.16
7,294282,Van,Low,22822.79
24,267323,Truck,Low,10542.04
10,163568,SUV,Low,20344.75
20,142602,Truck,Low,10278.02
24,92285,SUV,High,2515.17
8,192353,Sedan,High,5624.52
22,218011,Motorcycle,Medium,2033.01
16,256168,Truck,Low,10480.09
7,197135,Sedan,High,5951.97
1,79110,Truck,High,15195.91
9,224366,Truck,High,9190.41
12,115120,Van,High,4439.15
12,92968,Sedan,Medium,7839.29
11,185212,Van,High,4645.13
19,278948,Truck,High,3365.13
3,94553,Van,Medium,19552.45
17,62987,Motorcycle,Medium,1919.81
20,98226,SUV,High,2445.79
4,120521,Truck,High,13299.82
19,53077,Van,High,2217.33
24,34091,SUV,High,2410.39
9,206944,SUV,Medium,14455.14
20,95727,Truck,Low,10371.02
20,198973,Van,Medium,4794.46
8,32274,Van,High,6754.58
6,38194,Van,Medium,15814.46
7,159765,Sedan,Low,19101.66
13,51200,SUV,Low,14088.26
21,191834,Truck,Low,11176.89
3,173153,SUV,Low,34592.62
10,160625,Sedan,Medium,9692.43
3,57328,Sedan,High,8032.36
24,218525,Truck,High,3255.89
22,169029,Truck,Medium,6954.56
23,231575,SUV,High,2595.66
11,164161,Sedan,High,4148.0
6,56527,SUV,Medium,19948.47
20,144932,Truck,Low,10319.48
10,48009,Van,High,5563.99
1,224860,Sedan,High,8762.22
21,204510,Van,Low,6852.43
25,281004,SUV,Low,8537.89
5,69748,Motorcycle,High,3253.97
17,71031,SUV,High,2415.1
16,191562,Motorcycle,Low,3045.12
13,204994,SUV,Low,14742.74
21,147076,Motorcycle,High,926.97
23,50272,Sedan,Low,5907.16
8,77955,Truck,Medium,20279.74
